Date,Province/Region/City,Confirmed Cases,Number of Records
6 February 2020,Hubei,19665,1
6 February 2020,Zhejiang,954,1
6 February 2020,Guangdong,944,1
6 February 2020,Henan,851,1
6 February 2020,Hunan,711,1
6 February 2020,Anhui,591,1
6 February 2020,Jiangxi,600,1
6 February 2020,Chongqing,389,1
6 February 2020,Jiangsu,373,1
6 February 2020,Sichuan,321,1
6 February 2020,Shandong,343,1
6 February 2020,Beijing,274,1
6 February 2020,Shanghai,254,1
6 February 2020,Fujian,215,1
6 February 2020,Heilongjiang,227,1
6 February 2020,Shaanxi,173,1
6 February 2020,Guangxi,168,1
6 February 2020,Hebei,157,1
6 February 2020,Yunnan,128,1
6 February 2020,Hainan,100,1
6 February 2020,Liaoning,89,1
6 February 2020,Shanxi,90,1
6 February 2020,Tianjin,70,1
6 February 2020,Gansu,62,1
6 February 2020,Guizhou,69,1
6 February 2020,Jilin,59,1
6 February 2020,Inner Mongolia,46,1
6 February 2020,Ningxia,40,1
6 February 2020,Xinjiang,36,1
6 February 2020,Hong Kong SAR,21,1
6 February 2020,Qinghai,18,1
6 February 2020,Taipei and environs,11,1
6 February 2020,Macao SAR,10,1
6 February 2020,Xizang,1,1
6 February 2020,Total,28060,
