Date,Province/Region/City,Confirmed Cases,Number of Records
1 February 2020,Hubei,7153,1
1 February 2020,Zhejiang,599,1
1 February 2020,Guangdong,520,1
1 February 2020,Henan,422,1
1 February 2020,Hunan,389,1
1 February 2020,Anhui,297,1
1 February 2020,Jiangxi,286,1
1 February 2020,Chongqing,238,1
1 February 2020,Sichuan,207,1
1 February 2020,Jiangsu,202,1
1 February 2020,Shandong,202,1
1 February 2020,Beijing,156,1
1 February 2020,Shanghai,153,1
1 February 2020,Fujian,144,1
1 February 2020,Shaanxi,101,1
1 February 2020,Guangxi,100,1
1 February 2020,Hebei,96,1
1 February 2020,Yunnan,91,1
1 February 2020,Heilongjiang,80,1
1 February 2020,Liaoning,60,1
1 February 2020,Hainan,57,1
1 February 2020,Shanxi,47,1
1 February 2020,Gansu,35,1
1 February 2020,Tianjin,34,1
1 February 2020,Guizhou,29,1
1 February 2020,Ningxia,26,1
1 February 2020,Inner Mongolia,23,1
1 February 2020,Xinjiang,18,1
1 February 2020,Jilin,17,1
1 February 2020,Hong Kong SAR,13,1
1 February 2020,Taipei,10,1
1 February 2020,Qinghai,8,1
1 February 2020,Macau SAR,7,1
1 February 2020,Xizang,1,1
,Total,11821,
