Date,Province/Region/City,Confirmed Cases,Number of Records
2 February 2020,Hubei,9074,1
2 February 2020,Zhejiang,661,1
2 February 2020,Guangdong,604,1
2 February 2020,Henan,493,1
2 February 2020,Hunan,463,1
2 February 2020,Anhui,340,1
2 February 2020,Jiangxi,333,1
2 February 2020,Chongqing,262,1
2 February 2020,Sichuan,236,1
2 February 2020,Jiangsu,231,1
2 February 2020,Shandong,225,1
2 February 2020,Beijing,183,1
2 February 2020,Shanghai,177,1
2 February 2020,Fujian,159,1
2 February 2020,Shaanxi,116,1
2 February 2020,Guangxi,111,1
2 February 2020,Hebei,104,1
2 February 2020,Yunnan,99,1
2 February 2020,Heilongjiang,95,1
2 February 2020,Liaoning,64,1
2 February 2020,Hainan,63,1
2 February 2020,Shanxi,56,1
2 February 2020,Gansu,45,1
2 February 2020,Tianjin,40,1
2 February 2020,Guizhou,38,1
2 February 2020,Ningxia,28,1
2 February 2020,Inner Mongolia,26,1
2 February 2020,Xinjiang,23,1
2 February 2020,Jilin,21,1
2 February 2020,Hong Kong SAR,14,1
2 February 2020,Taipei,10,1
2 February 2020,Qinghai,9,1
2 February 2020,Macau SAR,7,1
2 February 2020,Xizang,1,1
,Total,14411,
