Date,Province/Region/City,Confirmed Cases,Number of Records
4 February 2020,Hubei,13522,1
4 February 2020,Zhejiang,829,1
4 February 2020,Guangdong,797,1
4 February 2020,Henan,675,1
4 February 2020,Hunan,593,1
4 February 2020,Anhui,480,1
4 February 2020,Jiangxi,476,1
4 February 2020,Chongqing,337,1
4 February 2020,Jiangsu,308,1
4 February 2020,Sichuan,282,1
4 February 2020,Shandong,270,1
4 February 2020,Beijing,228,1
4 February 2020,Shanghai,208,1
4 February 2020,Fujian,194,1
4 February 2020,Heilongjiang,155,1
4 February 2020,Shaanxi,142,1
4 February 2020,Guangxi,139,1
4 February 2020,Hebei,126,1
4 February 2020,Yunnan,117,1
4 February 2020,Hainan,79,1
4 February 2020,Liaoning,74,1
4 February 2020,Shanxi,74,1
4 February 2020,Tianjin,63,1
4 February 2020,Gansu,56,1
4 February 2020,Guizhou,56,1
4 February 2020,Jilin,42,1
4 February 2020,Inner Mongolia,37,1
4 February 2020,Ningxia,34,1
4 February 2020,Xinjiang,29,1
4 February 2020,Hong Kong SAR,15,1
4 February 2020,Qinghai,15,1
4 February 2020,Taipei,10,1
4 February 2020,Macao SAR,8,1
4 February 2020,Xizang,1,1
,Total,20471,
