Date,Province/Region/City,Confirmed Cases,Number of Records
10 February 2020,Hubei,29631,1
10 February 2020,Guangdong,1151,1
10 February 2020,Zhejiang,1104,1
10 February 2020,Henan,1073,1
10 February 2020,Hunan,879,1
10 February 2020,Anhui,830,1
10 February 2020,Jiangxi,771,1
10 February 2020,Jiangsu,492,1
10 February 2020,Chongqing,468,1
10 February 2020,Shandong,459,1
10 February 2020,Sichuan,405,1
10 February 2020,Beijing,337,1
10 February 2020,Heilongjiang,331,1
10 February 2020,Shanghai,295,1
10 February 2020,Fujian,261,1
10 February 2020,Hebei,218,1
10 February 2020,Shaanxi,213,1
10 February 2020,Guangxi,210,1
10 February 2020,Yunnan,141,1
10 February 2020,Hainan,136,1
10 February 2020,Shanxi,119,1
10 February 2020,Guizhou,109,1
10 February 2020,Liaoning,107,1
10 February 2020,Tianjin,91,1
10 February 2020,Gansu,85,1
10 February 2020,Jilin,80,1
10 February 2020,Inner Mongolia,58,1
10 February 2020,Ningxia,49,1
10 February 2020,Xinjiang,49,1
10 February 2020,Hong Kong SAR,36,1
10 February 2020,Qinghai,18,1
10 February 2020,Taipei and environs,18,1
10 February 2020,Macao SAR,10,1
10 February 2020,Xizang,1,1
,Total,40235,
