Date,Province/Region/City,Confirmed Cases,Number of Records
8 February 2020,Hubei,24953,1
8 February 2020,Guangdong,1075,1
8 February 2020,Zhejiang,1048,1
8 February 2020,Henan,981,1
8 February 2020,Hunan,803,1
8 February 2020,Anhui,733,1
8 February 2020,Jiangxi,698,1
8 February 2020,Jiangsu,439,1
8 February 2020,Chongqing,426,1
8 February 2020,Shandong,407,1
8 February 2020,Sichuan,363,1
8 February 2020,Beijing,315,1
8 February 2020,Heilongjiang,282,1
8 February 2020,Shanghai,281,1
8 February 2020,Fujian,239,1
8 February 2020,Shaanxi,195,1
8 February 2020,Hebei,195,1
8 February 2020,Guangxi,183,1
8 February 2020,Yunnan,138,1
8 February 2020,Hainan,123,1
8 February 2020,Shanxi,104,1
8 February 2020,Liaoning,99,1
8 February 2020,Guizhou,89,1
8 February 2020,Tianjin,81,1
8 February 2020,Gansu,71,1
8 February 2020,Jilin,69,1
8 February 2020,Inner Mongolia,50,1
8 February 2020,Ningxia,45,1
8 February 2020,Xinjiang,42,1
8 February 2020,Hong Kong SAR,26,1
8 February 2020,Qinghai,18,1
8 February 2020,Taipei and environs,16,1
8 February 2020,Macao SAR,10,1
8 February 2020,Xizang,1,1
,Total,34598,
