Date,Province/Region/City,Confirmed Cases,Number of Records
5 February 2020,Hubei,16678,1
5 February 2020,Zhejiang,895,1
5 February 2020,Guangdong,870,1
5 February 2020,Henan,764,1
5 February 2020,Hunan,661,1
5 February 2020,Anhui,530,1
5 February 2020,Jiangxi,548,1
5 February 2020,Chongqing,366,1
5 February 2020,Jiangsu,341,1
5 February 2020,Sichuan,301,1
5 February 2020,Shandong,298,1
5 February 2020,Beijing,253,1
5 February 2020,Shanghai,233,1
5 February 2020,Fujian,205,1
5 February 2020,Heilongjiang,190,1
5 February 2020,Shaanxi,165,1
5 February 2020,Guangxi,150,1
5 February 2020,Hebei,135,1
5 February 2020,Yunnan,122,1
5 February 2020,Hainan,89,1
5 February 2020,Liaoning,81,1
5 February 2020,Shanxi,81,1
5 February 2020,Tianjin,67,1
5 February 2020,Gansu,57,1
5 February 2020,Guizhou,64,1
5 February 2020,Jilin,54,1
5 February 2020,Inner Mongolia,42,1
5 February 2020,Ningxia,34,1
5 February 2020,Xinjiang,32,1
5 February 2020,Hong Kong SAR,18,1
5 February 2020,Qinghai,17,1
5 February 2020,Taipei and environs,11,1
5 February 2020,Macao SAR,10,1
5 February 2020,Xizang,1,1
,Total,24363,
